grade,crisis_period,loan_count,default_count,default_rate
A,0,218254,12581,0.0576438461608951
A,1,4250,223,0.052470588235294116
B,0,364764,47381,0.12989494577315744
B,1,5607,681,0.12145532370251472
C,0,355003,78263,0.2204572919102092
C,1,4588,721,0.1571490845684394
D,0,185667,55783,0.3004464983007212
D,1,3080,637,0.20681818181818182
E,0,87279,33476,0.38355159889549606
E,1,1539,374,0.24301494476933072
F,0,30117,13555,0.45007802902015476
F,1,521,161,0.30902111324376197
G,0,8607,4285,0.49785058673173
G,1,273,89,0.326007326007326
